% EVENT-FILTERED DATA
AbsoluteTime,RelativeTime_s,Mirror_Y_g,Mirror_X_g,Mirror_Z_g,Desk_Y_g
2025-11-17 17:00:42.913,245.666000,0.004979,-0.003638,-0.240295,-0.103451
2025-11-17 17:44:32.618,2875.370700,-0.075891,-0.052015,-0.054580,-0.042872
2025-11-17 17:44:32.618,2875.370800,-0.074082,-0.041524,-0.064677,-0.033532
2025-11-17 17:57:11.542,3634.294800,-0.007387,0.007741,-0.088717,-0.005742
2025-11-17 17:57:11.542,3634.295000,-0.054876,-0.037413,-0.022318,-0.008308
2025-11-17 18:10:40.957,4443.709500,-0.064874,-0.048759,-0.019884,-0.030704
2025-11-17 18:31:23.477,5686.229600,0.008991,-0.040998,-0.061223,-0.022646
2025-11-17 18:31:23.477,5686.229800,-0.004164,-0.027185,-0.070596,-0.011235
2025-11-17 18:40:58.997,6261.749600,-0.056455,-0.032315,-0.091743,-0.035538
2025-11-17 18:53:01.864,6984.617000,0.006689,-0.002881,-0.093683,0.002710
2025-11-17 18:53:01.864,6984.617200,-0.051160,-0.047509,-0.004328,0.003927
2025-11-17 18:53:01.865,6984.618100,-0.005413,-0.008275,-0.180539,0.000342
2025-11-17 19:58:21.895,10904.647800,-0.029356,-0.067308,-0.066781,-0.005085
2025-11-17 22:11:38.117,18900.870000,-0.162550,-0.055304,-0.058066,-0.011596
2025-11-17 22:11:38.117,18900.870200,-0.048003,-0.075661,-0.133970,-0.062802
2025-11-17 22:11:38.117,18900.870300,-0.069643,-0.073162,-0.074115,-0.019621
2025-11-17 22:18:26.791,19309.544100,-0.091907,0.003104,0.001920,-0.004986
2025-11-17 23:07:44.127,22266.880000,-0.022548,-0.029717,-0.058592,-0.045832
2025-11-18 00:25:12.480,26915.233000,-0.056586,-0.040636,-0.040669,-0.016201
2025-11-18 01:36:26.003,31188.755800,-0.077930,-0.059743,-0.063591,-0.004460
2025-11-18 01:59:25.658,32568.411200,-0.048101,-0.034913,-0.071649,-0.026067
2025-11-18 02:18:09.717,33692.470100,0.000671,-0.053857,-0.010708,-0.012024
2025-11-18 02:21:13.260,33876.013100,-0.072241,-0.044550,-0.063789,-0.045635
2025-11-18 02:21:13.260,33876.013200,-0.059316,-0.041031,-0.043037,-0.013537
2025-11-18 02:31:27.436,34490.189400,-0.054646,-0.029586,0.002414,0.006854
2025-11-18 02:38:53.214,34935.967100,-0.047148,-0.052475,-0.083258,-0.006630
2025-11-18 02:38:53.214,34935.967200,-0.057408,-0.054350,-0.048792,0.004025
2025-11-18 02:39:44.404,34987.157400,-0.003605,-0.000250,-0.004624,-0.071057
2025-11-18 03:10:44.581,36847.333900,-0.019160,-0.049022,-0.061421,-0.011925
2025-11-18 03:34:46.503,38289.256400,0.023001,-0.094736,-0.002881,0.004255
2025-11-18 03:44:15.242,38857.994600,-0.051456,-0.023074,-0.001204,0.001328
2025-11-18 04:46:38.810,42601.563000,-0.070169,-0.074543,-0.068163,0.003762
2025-11-18 04:52:53.860,42976.613400,-0.071978,-0.080101,-0.080002,-0.009163
2025-11-18 05:32:07.549,45330.301900,-0.013372,0.003400,0.007084,-0.051193
2025-11-18 05:32:07.549,45330.302000,-0.056225,-0.038136,-0.028566,-0.004164
2025-11-18 06:13:47.884,47830.637000,-0.052048,-0.006926,0.002019,-0.005118
2025-11-18 06:43:11.367,49594.120000,-0.051818,-0.025672,-0.018437,-0.005183
2025-11-18 06:45:55.767,49758.520100,0.001296,-0.082304,-0.112232,-0.034913
2025-11-18 06:45:55.804,49758.557500,-0.056060,-0.005019,-0.000349,-0.009524
2025-11-18 07:05:51.073,50953.826000,-0.058000,-0.081942,-0.067900,-0.005413
2025-11-18 07:16:40.295,51603.048500,-0.015181,-0.003736,-0.001927,-0.079147
2025-11-18 07:33:46.410,52629.162700,0.008629,-0.004756,-0.053955,-0.027218
2025-11-18 08:33:48.161,56230.913600,-0.055337,-0.036788,-0.040998,-0.008012
2025-11-18 08:33:50.943,56233.696000,-0.014425,-0.011300,-0.010840,0.052863
2025-11-18 08:33:50.949,56233.702000,0.053587,0.015108,0.028526,-0.006433
2025-11-18 08:33:50.949,56233.702100,0.052863,-0.002355,0.012675,0.002052
2025-11-18 08:33:50.950,56233.702800,0.059112,0.033755,0.008169,0.014056
2025-11-18 08:33:50.951,56233.704000,-0.022548,-0.002848,-0.052607,0.036978
2025-11-18 08:33:50.951,56233.704400,0.055362,-0.002980,0.027638,-0.030770
2025-11-18 08:33:50.951,56233.704500,0.054738,0.029644,-0.010116,0.001460
2025-11-18 08:33:50.958,56233.711200,-0.012123,0.001624,-0.002026,0.055987
2025-11-18 08:33:50.959,56233.711900,-0.054909,-0.019456,-0.013701,0.016621
2025-11-18 08:33:50.959,56233.712300,0.023527,-0.006597,0.052995,-0.043596
2025-11-18 08:33:50.960,56233.712600,-0.043037,-0.025212,-0.011794,0.056283
2025-11-18 08:33:50.960,56233.713400,0.038425,0.011589,-0.005118,0.057993
2025-11-18 08:33:50.961,56233.714000,-0.012583,-0.010774,0.026586,0.072891
2025-11-18 08:33:50.964,56233.717300,0.059408,0.033788,-0.001895,0.018956
2025-11-18 08:33:50.975,56233.728000,0.027836,0.009156,-0.050436,0.010997
2025-11-18 08:33:50.975,56233.728100,0.002611,-0.004295,-0.003901,-0.050699
2025-11-18 08:33:50.980,56233.733300,0.051416,0.037439,0.004486,0.026685
2025-11-18 08:33:50.981,56233.734000,0.059342,0.035202,-0.007387,0.005966
2025-11-18 08:34:17.472,56260.225000,-0.054383,-0.013339,-0.027810,-0.010971
2025-11-18 08:34:17.473,56260.226300,0.043260,0.020140,0.011129,-0.064413
2025-11-18 08:34:17.474,56260.226700,0.013398,0.015930,-0.039090,0.051745
2025-11-18 08:34:17.474,56260.226900,-0.052015,-0.019128,-0.020838,-0.021726
2025-11-18 08:34:17.475,56260.228500,0.031881,-0.000513,-0.004526,-0.079739
2025-11-18 08:34:17.476,56260.229100,-0.003572,-0.021791,-0.002092,-0.072964
2025-11-18 08:34:17.477,56260.229900,-0.036722,-0.003572,-0.019489,-0.054810
2025-11-18 08:34:17.477,56260.230000,-0.017056,0.006525,0.011195,-0.080495
2025-11-18 08:34:17.477,56260.230200,0.032769,0.014944,0.024415,0.058750
2025-11-18 08:34:17.478,56260.230600,-0.035604,-0.002782,-0.048956,-0.053725
2025-11-18 08:34:17.478,56260.230700,-0.042478,-0.017450,-0.050897,-0.043563
2025-11-18 08:34:17.478,56260.231000,0.050561,0.026487,0.024876,0.096505
2025-11-18 08:34:17.478,56260.231100,0.066248,0.022311,0.037110,0.030401
2025-11-18 08:34:17.478,56260.231300,-0.003374,-0.018733,-0.016332,-0.113482
2025-11-18 08:34:17.478,56260.231400,-0.062802,-0.031822,-0.015576,-0.058395
2025-11-18 08:34:17.479,56260.231500,-0.059217,-0.023008,-0.043497,0.019844
2025-11-18 08:34:17.479,56260.231600,-0.004493,0.011030,-0.014194,0.070359
2025-11-18 08:34:17.479,56260.232500,-0.006795,0.006590,-0.023896,0.061808
2025-11-18 08:34:17.480,56260.232800,-0.019555,-0.002585,0.013003,-0.057244
2025-11-18 08:34:17.480,56260.233200,0.018397,0.009254,0.003762,0.067103
2025-11-18 08:34:17.480,56260.233300,0.016917,0.000901,-0.013931,0.062170
2025-11-18 08:34:17.480,56260.233500,-0.033993,-0.034881,-0.019226,-0.085790
2025-11-18 08:34:17.481,56260.233600,-0.020739,-0.015609,-0.008867,-0.130649
2025-11-18 08:34:17.481,56260.233800,-0.000152,0.001493,0.007018,0.069340
2025-11-18 08:34:17.481,56260.233900,0.007215,0.029644,0.009221,0.113014
2025-11-18 08:34:17.481,56260.234100,0.040366,0.002710,-0.016858,-0.067801
2025-11-18 08:34:17.481,56260.234200,0.005834,-0.008998,0.004814,-0.098945
2025-11-18 08:34:17.481,56260.234300,-0.025837,-0.035144,-0.023041,-0.058198
2025-11-18 08:34:17.482,56260.234600,0.005078,0.007314,0.003170,0.073220
2025-11-18 08:34:17.482,56260.234900,0.031157,0.020798,0.024119,-0.077634
2025-11-18 08:34:17.482,56260.235000,0.050232,-0.003473,0.001328,-0.075924
2025-11-18 08:34:17.482,56260.235200,-0.026889,-0.028172,-0.055106,0.053685
2025-11-18 08:34:17.482,56260.235300,-0.051226,-0.031164,-0.053857,0.029217
2025-11-18 08:34:17.483,56260.235700,0.074108,0.027178,0.018002,-0.056586
2025-11-18 08:34:17.483,56260.235900,0.003795,-0.030803,-0.011037,-0.055271
2025-11-18 08:34:17.483,56260.236000,-0.016661,-0.037643,-0.056356,0.040662
2025-11-18 08:34:17.483,56260.236100,-0.063789,-0.020969,-0.017352,0.044740
2025-11-18 08:34:17.484,56260.236500,0.000013,0.004913,0.032144,-0.069807
2025-11-18 08:34:17.485,56260.238200,-0.075595,-0.038268,-0.019555,0.007741
2025-11-18 08:34:17.485,56260.238300,-0.004131,0.002874,-0.051982,0.009846
2025-11-18 08:34:17.486,56260.238600,0.058881,0.040695,0.005406,-0.000217
2025-11-18 08:34:17.486,56260.238700,0.048029,0.027605,-0.004526,-0.058395
2025-11-18 08:34:17.486,56260.239000,-0.020048,-0.037775,-0.051916,0.004946
2025-11-18 08:34:17.486,56260.239200,-0.053758,0.002118,-0.011399,0.007972
2025-11-18 08:34:17.486,56260.239400,0.056152,0.059835,0.033657,0.001296
2025-11-18 08:34:17.486,56260.239500,0.046516,0.018200,0.065393,0.012379
2025-11-18 08:34:17.487,56260.239600,0.050956,0.013464,0.016095,-0.031592
2025-11-18 08:34:17.487,56260.239700,0.027375,-0.015937,-0.021199,-0.057211
2025-11-18 08:34:17.487,56260.239800,-0.036262,-0.060533,-0.052114,-0.013339
2025-11-18 08:34:17.487,56260.239900,-0.089013,-0.055994,-0.056488,0.026915
2025-11-18 08:34:17.487,56260.240000,-0.061059,-0.004986,-0.055830,0.033295
2025-11-18 08:34:17.487,56260.240200,0.042339,0.063946,0.049837,-0.001599
2025-11-18 08:34:17.487,56260.240300,0.062894,0.048357,0.065360,-0.063032
2025-11-18 08:34:17.487,56260.240400,0.054047,0.005900,0.015569,-0.063986
2025-11-18 08:34:17.488,56260.240600,-0.039024,-0.051818,-0.042313,0.033328
2025-11-18 08:34:17.488,56260.240700,-0.053199,-0.057869,-0.026692,0.047502
2025-11-18 08:34:17.488,56260.241000,0.002940,0.045661,0.007478,-0.050502
2025-11-18 08:34:17.488,56260.241400,0.006163,-0.033302,0.000901,0.052041
2025-11-18 08:34:17.491,56260.244400,-0.032644,-0.060927,-0.023469,0.005078
2025-11-18 08:34:17.493,56260.245600,0.046713,0.055132,0.014418,0.023231
2025-11-18 08:34:17.493,56260.245900,-0.057211,-0.041327,-0.032611,-0.024028
2025-11-18 08:34:17.493,56260.246000,-0.016398,-0.038301,-0.053626,-0.012451
2025-11-18 08:34:17.495,56260.248300,0.052633,0.030993,-0.021167,0.021127
2025-11-18 08:34:17.500,56260.253000,0.053817,0.039017,-0.013602,-0.014392
2025-11-18 08:34:17.501,56260.253700,0.018397,0.035794,0.054376,-0.010873
2025-11-18 08:34:17.502,56260.255300,-0.052377,-0.022120,-0.014754,-0.015937
2025-11-18 08:34:17.505,56260.258000,-0.013570,-0.014819,-0.054416,0.021620
2025-11-18 08:34:17.505,56260.258400,0.066281,0.051613,0.002808,-0.019489
2025-11-18 08:34:17.508,56260.260900,-0.011827,-0.022055,-0.040537,0.050857
2025-11-18 08:34:17.508,56260.261000,-0.032381,-0.029684,-0.013898,0.056020
2025-11-18 08:34:17.508,56260.261300,0.043128,0.041911,0.001559,-0.058691
2025-11-18 08:34:17.508,56260.261400,0.054047,0.042931,0.009780,-0.038663
2025-11-18 08:34:17.509,56260.261700,-0.031362,-0.050634,-0.046720,0.043983
2025-11-18 08:34:17.509,56260.262000,0.015898,0.031585,0.022212,-0.062243
2025-11-18 08:34:17.509,56260.262400,-0.007946,-0.030178,-0.020246,0.062598
2025-11-18 08:34:17.510,56260.262500,-0.003210,-0.025771,-0.058033,0.030204
2025-11-18 08:34:17.510,56260.262700,-0.034881,-0.035209,-0.002125,-0.058954
2025-11-18 08:34:17.510,56260.262800,-0.011761,-0.005348,0.033624,-0.057770
2025-11-18 08:34:17.510,56260.263000,0.055132,0.035367,-0.005709,0.046055
2025-11-18 08:34:17.510,56260.263100,0.012444,0.012971,-0.004920,0.050002
2025-11-18 08:34:17.510,56260.263400,-0.010906,-0.018404,-0.016398,-0.074576
2025-11-18 08:34:17.510,56260.263500,-0.024554,-0.021298,-0.003046,-0.054153
2025-11-18 08:34:17.519,56260.272400,-0.064677,-0.036887,-0.014984,0.016654
2025-11-18 08:34:17.520,56260.272500,-0.050897,-0.033532,-0.019555,0.004617
2025-11-18 08:34:17.520,56260.272800,0.067564,0.017279,0.029875,-0.019029
2025-11-18 08:34:17.520,56260.272900,0.052403,0.030993,-0.006236,-0.017680
2025-11-18 08:34:17.520,56260.273200,-0.062572,-0.019358,-0.028270,0.014483
2025-11-18 08:34:17.521,56260.273600,0.057665,0.023231,0.014977,-0.007157
2025-11-18 08:34:17.524,56260.277200,0.057073,0.023856,0.006262,-0.021002
2025-11-18 08:34:17.529,56260.282000,0.067925,0.005604,0.015766,0.009583
2025-11-18 08:34:17.529,56260.282400,-0.057080,-0.013241,-0.029421,-0.002947
2025-11-18 08:34:17.533,56260.285800,0.050627,0.013003,-0.003407,0.012214
2025-11-18 08:34:17.540,56260.292800,0.050627,0.016391,0.003203,0.015075
2025-11-18 08:34:17.542,56260.294800,0.057401,0.040070,0.031289,-0.002585
2025-11-18 08:34:18.986,56261.738600,0.065426,0.021258,-0.015181,0.012181
2025-11-18 08:34:18.986,56261.738900,-0.038400,-0.051160,-0.006334,0.007084
2025-11-18 08:34:18.988,56261.741400,0.036880,0.020765,-0.013208,0.070425
2025-11-18 08:34:18.990,56261.743500,-0.003407,-0.042412,-0.006203,0.062203
2025-11-18 08:34:18.992,56261.744700,-0.012057,-0.001072,0.002348,-0.055896
2025-11-18 08:34:18.992,56261.745000,0.038656,0.011918,0.029809,0.059342
2025-11-18 08:34:18.993,56261.745700,0.014023,0.001131,0.037801,0.073155
2025-11-18 08:34:18.993,56261.745800,0.059605,0.005735,0.041517,0.069011
2025-11-18 08:34:18.993,56261.745900,0.076969,0.026060,0.021817,0.018397
2025-11-18 08:34:18.993,56261.746000,0.035268,0.005209,-0.001335,-0.054843
2025-11-18 08:34:18.993,56261.746100,-0.019358,-0.027251,0.004486,-0.083061
2025-11-18 08:34:18.993,56261.746200,-0.058527,-0.029257,-0.023863,-0.004526
2025-11-18 08:34:18.993,56261.746300,-0.021791,-0.005381,-0.039255,0.077759
2025-11-18 08:34:18.993,56261.746400,-0.009097,-0.004065,0.002479,0.075687
2025-11-18 08:34:18.994,56261.747200,-0.006038,0.000177,-0.018930,0.075095
2025-11-18 08:34:18.995,56261.748000,0.042471,0.009682,0.007445,0.081278
2025-11-18 08:34:18.995,56261.748100,0.010208,-0.001763,-0.008242,0.051021
2025-11-18 08:34:18.995,56261.748300,-0.035703,-0.035111,-0.001072,-0.103122
2025-11-18 08:34:18.996,56261.748600,0.019877,0.018035,0.026356,0.108804
2025-11-18 08:34:18.996,56261.748700,0.009189,0.010340,0.032637,0.072727
2025-11-18 08:34:18.996,56261.748900,0.032078,0.003170,-0.005940,-0.071879
2025-11-18 08:34:18.996,56261.749000,-0.010544,-0.023600,-0.001763,-0.054745
2025-11-18 08:34:18.996,56261.749300,0.013957,0.006985,-0.008702,0.060197
2025-11-18 08:34:18.996,56261.749400,-0.023929,-0.021660,0.017838,0.066774
2025-11-18 08:34:18.997,56261.749700,0.067629,0.006459,0.030467,-0.048496
2025-11-18 08:34:18.997,56261.749800,0.056283,-0.002256,-0.001335,-0.020871
2025-11-18 08:34:18.997,56261.750100,-0.061256,-0.024291,-0.022153,0.022771
2025-11-18 08:34:18.997,56261.750400,0.057073,0.022146,0.009485,-0.012616
2025-11-18 08:34:18.997,56261.750500,0.059243,0.018364,0.040070,-0.001862
2025-11-18 08:34:18.998,56261.751400,0.052600,0.006525,0.041188,-0.000053
2025-11-18 08:34:18.999,56261.751700,-0.007847,-0.028369,-0.053462,-0.004230
2025-11-18 08:34:18.999,56261.751800,-0.019588,-0.003309,-0.052311,0.003861
2025-11-18 08:34:18.999,56261.752400,0.000408,-0.027678,-0.012057,0.055264
2025-11-18 08:34:19.001,56261.753900,-0.065301,-0.031230,-0.044944,0.031684
2025-11-18 08:34:19.001,56261.754000,-0.051522,-0.007420,-0.003868,-0.015049
2025-11-18 08:34:19.001,56261.754200,0.063354,0.040004,0.087888,0.008597
2025-11-18 08:34:19.001,56261.754300,0.072530,0.033558,0.063420,0.005998
2025-11-18 08:34:19.001,56261.754400,0.080916,0.015470,0.008136,-0.029980
2025-11-18 08:34:19.002,56261.754600,-0.089803,-0.082140,-0.044911,0.023396
2025-11-18 08:34:19.002,56261.754700,-0.079311,-0.035374,-0.072471,0.039445
2025-11-18 08:34:19.002,56261.755000,0.055724,0.062828,0.076114,-0.030539
2025-11-18 08:34:19.002,56261.755100,0.076213,0.039872,0.051449,-0.043267
2025-11-18 08:34:19.002,56261.755200,0.056119,-0.005381,0.002019,-0.006071
2025-11-18 08:34:19.002,56261.755400,-0.060599,-0.072438,-0.027382,0.040399
2025-11-18 08:34:19.003,56261.756100,0.025862,-0.021463,0.014549,0.062367
2025-11-18 08:34:19.006,56261.759200,-0.026626,-0.052771,-0.026757,-0.003111
2025-11-18 08:34:19.007,56261.759600,0.059276,0.057763,0.000342,-0.004493
2025-11-18 08:34:19.012,56261.764800,0.056086,0.020633,0.011030,0.015799
2025-11-18 08:34:19.015,56261.767700,0.054573,0.044740,0.007709,0.002677
2025-11-18 08:34:19.015,56261.768500,0.021258,0.012806,0.067399,-0.001895
2025-11-18 08:34:19.016,56261.768700,0.050495,0.024350,-0.014688,-0.015609
2025-11-18 08:34:19.016,56261.768900,-0.052574,-0.036755,-0.028829,0.021686
2025-11-18 08:34:19.017,56261.770000,-0.056257,-0.022811,-0.016595,-0.008998
2025-11-18 08:34:19.017,56261.770400,0.021225,0.016555,0.052139,0.009024
2025-11-18 08:34:19.020,56261.773100,0.048653,0.053291,0.013563,-0.008834
2025-11-18 08:34:19.020,56261.773200,0.070359,0.045529,0.027441,-0.015773
2025-11-18 08:34:19.022,56261.774800,0.012938,-0.013339,-0.051061,0.006064
2025-11-18 08:34:19.022,56261.775200,0.050956,0.040234,0.020107,-0.016036
2025-11-18 08:34:19.023,56261.775700,-0.029224,-0.038071,-0.008669,0.058059
2025-11-18 08:34:19.024,56261.777100,0.010044,-0.008472,0.009945,0.057040
2025-11-18 08:34:19.025,56261.777500,-0.037150,-0.013537,0.014385,-0.050798
2025-11-18 08:34:19.025,56261.777800,0.033788,0.030598,0.017246,0.051580
